age,income,upi_txn_count,bill_payment_score,mobile_recharge_score,ecommerce_spend,loan_default
56,154867,348,18.34347898661638,77.96910002727692,11284,0
36,176266,458,86.61761457749351,60.11150117432088,16023,0
19,67735,491,93.85527090157501,0.07787658410143283,37819,0
29,93305,21,0.7066305219717406,2.3062425041415757,41434,0
59,157503,475,97.37555188414592,23.277134043030422,19118,0
20,77092,306,68.03075385877797,45.0499251969543,21777,0
31,182073,264,1.5966252220214194,23.0893825622149,23483,1
25,118510,34,90.9320402078782,25.87799816000169,3943,0
23,86953,259,18.485445552552704,96.95846277645586,6873,0
27,107299,269,72.72719958564208,32.65407688058354,40397,0
57,31247,236,27.134903177389592,82.87375091519293,12185,0
58,46044,14,16.52669390630025,1.5636406741193931,2568,0
25,132375,62,81.54614284548342,70.68573438476172,13986,0
22,142633,230,65.10770255019445,91.49596755437808,8392,0
51,60256,47,37.081825219826634,66.88412526636073,30818,0
39,32538,34,47.22149251619493,11.959424593830171,13773,0
22,106806,254,25.606832276132398,4.043358953843135,206,0
59,31419,460,20.17192023353962,89.57635956735194,41523,0
21,157213,484,24.929222914887493,41.038292303562976,33827,0
24,83450,242,16.122128725400444,92.96976523425731,42557,0
23,103259,107,18.657005888603585,89.25589984899777,21834,0
45,161048,230,90.6828441545754,27.213224938463533,1306,0
30,63016,258,0.6952130531190703,51.07473025775657,29320,0
50,21545,171,24.412552224777418,16.829104217293057,30303,0
29,60733,294,49.72485058923854,30.087830981676966,20080,0
19,120859,53,3.3050732900548385,34.5071248026683,46717,1
43,165381,415,59.26967238793935,8.085332633271525,44215,0
55,114308,371,98.34231408948429,39.88244424445531,44542,0
50,101384,123,50.81987767407187,69.58128067908818,26370,0
53,132249,450,80.95010461397155,34.866598729172935,1734,0
50,79295,38,93.67299887367345,13.752094414599325,8155,0
40,29918,477,69.57843993450822,22.855002179729965,31065,0
19,170688,303,96.54193512887936,55.82934536070976,29855,0
26,15400,98,70.03578299727712,84.66611422383059,4499,0
50,20183,115,8.413996499504883,16.162871409461378,42405,0
52,134063,472,66.35017691080559,0.5061583846218687,46975,0
19,10869,162,65.19612595026005,22.42693094605598,24736,1
31,99412,303,74.64914051180241,64.96328990472146,46214,0
50,115450,370,63.63326181858954,25.046181860558413,14373,0
25,158810,26,79.48113035416485,50.26370931051921,39790,0
22,101179,316,49.919337988475235,57.20041992091831,44080,0
45,157661,476,27.95603417967586,88.3494022266259,32635,1
41,11420,496,55.27649668354899,57.229246917083834,699,0
38,14102,160,31.692200515627768,16.94927466860925,34584,1
20,190957,279,20.891871761536017,67.11435168240506,18070,1
44,18729,385,32.255076423860054,84.86697949246744,40328,0
56,62748,169,80.93611554785136,81.01133946791808,29592,0
24,118627,172,19.427395351204225,7.094091699992767,40941,0
29,95922,470,2.7616771873704704,57.88648955075587,10966,0
42,60921,62,98.1840888310531,83.89335020693633,31289,0
59,135813,270,36.019064141126286,12.706051265188478,48096,0
22,95235,261,5.16817211686077,53.1354631568148,4142,0
57,81523,143,97.58520794625346,51.630034830119534,18077,0
36,36251,57,7.845638134226595,2.535074341545751,8308,1
26,108235,128,17.329432007084577,15.643704267108605,46175,0
42,184615,236,27.993389694594285,95.48652806631941,29375,0
39,198710,450,24.773098950115745,35.597267865126156,13284,1
46,17435,68,9.415698826856012,31.141330939129418,13245,0
29,51919,217,76.3364423003911,80.69129770507794,26211,0
47,34646,249,61.585009805221645,63.50936508676438,2849,0
27,31289,146,50.31362585800877,85.64898411883223,9540,0
33,59991,335,64.24192782063156,2.6511310541621813,25471,0
37,157143,395,38.816992620652194,64.32882184423532,4000,0
54,111691,322,82.0426843771268,65.1484771857788,17450,0
30,46494,301,1.8221825651549728,9.44429607559284,34850,0
43,33351,92,84.48753109694546,2.3271935735825866,417,0
24,11267,313,69.67371653641507,62.8942846779884,412,1
42,68692,248,54.79718832480873,42.347094230811855,35735,0
52,93999,35,37.201808579278314,77.64129607419969,23190,0
54,52811,368,67.98447799002459,73.99087604473745,2914,0
34,118448,61,49.65611906830777,38.96180862192035,698,0
53,155851,444,90.53819764192636,9.128667678613356,35270,0
48,171379,338,49.3025657771805,8.328441119525964,37259,0
38,126324,150,78.12960504712025,11.3464602017448,24244,0
